LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
LN000146,33,39523,17848,588,90,14,16.89,12,0.4579,Bachelor's,Full-time,Married,Yes,No,Personal,No,0
LN000147,43,91643,134441,501,40,16,20.48,24,0.746,Master's,Full-time,Married,Yes,No,Business,No,1
LN000148,42,38964,40713,663,72,14,13.95,240,0.0529,Bachelor's,Part-time,Divorced,No,Yes,Business,No,0
LN000149,45,52168,28663,790,137,3,6.37,240,0.0276,Bachelor's,Self-employed,Single,No,No,Personal,No,0
LN000150,37,39780,71511,700,81,18,11.9,180,0.121,High School,Full-time,Married,Yes,No,Business,No,1
LN000151,50,32639,103638,597,20,15,15.0,24,0.99,High School,Full-time,Single,No,No,Home,No,0
LN000152,48,65008,153486,684,51,1,9.76,48,0.5951,Bachelor's,Full-time,Married,No,No,Home,No,0
LN000153,48,11493,5579,520,3,4,17.87,60,0.0985,Master's,Unemployed,Single,No,Yes,Personal,No,1
LN000154,40,42621,25956,717,42,19,7.92,60,0.1226,High School,Self-employed,Single,No,Yes,Education,No,0
LN000155,50,8828,31258,670,1,2,13.76,60,0.7163,Master's,Unemployed,Married,No,Yes,Home,No,0
LN000156,31,51869,74165,513,105,15,18.33,36,0.4839,Bachelor's,Full-time,Divorced,Yes,No,Business,No,0
LN000157,55,3443,6021,564,2,5,18.98,24,0.8882,High School,Unemployed,Married,No,No,Business,Yes,0
LN000158,42,105052,310231,774,95,7,7.59,360,0.0991,Master's,Full-time,Married,No,Yes,Home,No,0
LN000159,45,47447,32867,461,40,9,21.59,48,0.1763,Bachelor's,Full-time,Single,Yes,Yes,Education,No,0
LN000160,22,37606,23198,601,79,11,14.36,60,0.1249,Master's,Part-time,Divorced,Yes,Yes,Education,Yes,0
LN000161,22,104059,32197,770,43,19,6.14,48,0.0777,Master's,Full-time,Married,No,No,Personal,Yes,0
LN000162,24,9279,11122,659,1,17,12.26,240,0.0605,Bachelor's,Unemployed,Married,Yes,No,Business,Yes,0
LN000163,53,51027,21489,577,50,19,16.46,36,0.1423,Bachelor's,Full-time,Single,No,Yes,Personal,No,0
LN000164,33,66831,42913,681,10,10,11.36,240,0.0324,Bachelor's,Full-time,Married,No,No,Education,Yes,0
LN000165,28,32803,24467,681,57,1,11.05,120,0.0753,High School,Full-time,Married,Yes,Yes,Auto,No,0
LN000166,39,30181,15788,661,66,5,12.55,180,0.0352,High School,Self-employed,Married,No,No,Personal,No,0
LN000167,18,62325,148409,815,143,8,3.85,48,0.5972,Bachelor's,Full-time,Married,Yes,No,Home,No,0
LN000168,67,9301,3893,591,2,6,14.66,120,0.0424,Master's,Unemployed,Single,No,No,Personal,No,0
LN000169,56,31804,22242,584,122,16,15.77,60,0.1417,High School,Full-time,Single,No,No,Auto,No,0
LN000170,37,46991,22460,637,67,5,12.54,120,0.0483,Bachelor's,Full-time,Single,No,No,Personal,Yes,0
LN000171,35,43747,29265,600,62,12,14.0,24,0.3384,High School,Self-employed,Married,No,Yes,Auto,No,0
LN000172,44,53272,55827,628,73,16,15.17,60,0.2122,Bachelor's,Full-time,Married,Yes,No,Auto,Yes,0
LN000173,42,97682,103284,343,29,1,26.93,180,0.0721,Master's,Full-time,Married,No,No,Auto,Yes,1
LN000174,41,42901,26654,542,132,14,18.27,36,0.2103,High School,Self-employed,Divorced,No,No,Auto,Yes,0
LN000175,36,115602,44904,551,10,2,17.83,360,0.0131,Master's,Full-time,Married,No,No,Personal,No,0
LN000176,44,57027,27986,772,91,11,7.41,12,0.4938,Bachelor's,Full-time,Married,No,No,Personal,Yes,0
LN000177,40,76366,51333,743,60,4,9.05,60,0.1355,Master's,Full-time,Married,No,Yes,Auto,No,0
LN000178,33,32013,48464,733,117,12,10.0,360,0.0509,Bachelor's,Full-time,Divorced,No,Yes,Business,No,0
LN000179,31,42381,19510,779,98,16,7.96,60,0.0927,Bachelor's,Full-time,Married,No,No,Education,Yes,0
LN000180,49,54261,222319,784,115,4,6.94,48,0.99,Bachelor's,Full-time,Divorced,No,No,Home,No,0
LN000181,38,4048,16168,830,1,15,4.43,120,0.4009,High School,Unemployed,Married,No,Yes,Home,No,0
LN000182,37,51310,55577,571,51,16,14.58,120,0.1096,Bachelor's,Full-time,Married,Yes,Yes,Auto,No,1
LN000183,29,18075,46328,574,73,2,16.12,48,0.6494,High School,Full-time,Married,Yes,No,Home,No,0
LN000184,32,42158,26653,845,114,1,3.0,60,0.1268,High School,Self-employed,Married,No,No,Education,No,0
LN000185,35,43196,60954,615,67,10,15.85,24,0.7149,High School,Full-time,Married,No,No,Business,Yes,0
LN000186,35,42001,154062,630,62,0,13.51,240,0.1855,Bachelor's,Self-employed,Single,No,No,Home,No,1
LN000187,41,20376,74251,757,14,10,8.52,60,0.734,High School,Part-time,Divorced,No,Yes,Home,No,0
LN000188,39,35609,105912,350,105,1,22.76,120,0.3031,Master's,Part-time,Married,No,No,Home,No,0
LN000189,36,18761,38007,728,1,18,8.81,12,0.99,High School,Part-time,Married,No,Yes,Business,No,1
LN000190,35,81173,42871,560,122,10,16.11,120,0.0535,Master's,Full-time,Married,No,No,Personal,No,1
LN000191,35,34534,15403,597,69,5,12.16,180,0.03,High School,Full-time,Single,Yes,Yes,Personal,No,1
LN000192,49,26061,28962,564,1,18,16.95,48,0.2818,High School,Full-time,Single,No,No,Auto,No,1
LN000193,37,36514,31190,612,135,14,15.65,360,0.0288,High School,Self-employed,Divorced,No,Yes,Education,No,1
LN000194,58,6654,27856,381,2,12,23.83,60,0.8539,Bachelor's,Unemployed,Single,No,No,Home,No,0
LN000195,50,46262,22467,837,79,5,5.14,36,0.1626,Bachelor's,Full-time,Single,Yes,No,Education,No,0
LN000196,26,12157,12622,522,148,14,19.7,360,0.0352,High School,Part-time,Married,No,Yes,Auto,Yes,0
LN000197,26,30757,20999,775,1,8,5.94,36,0.2287,High School,Full-time,Married,Yes,Yes,Education,Yes,0
LN000198,62,32654,22672,715,58,7,9.45,60,0.14,High School,Full-time,Divorced,No,No,Auto,No,0
LN000199,26,67971,28014,846,112,16,4.34,120,0.0414,Bachelor's,Full-time,Divorced,No,Yes,Personal,No,0
LN000200,18,9779,9958,771,2,16,7.57,60,0.2049,Master's,Unemployed,Single,Yes,No,Auto,Yes,0
LN000201,49,65541,27748,847,87,6,4.79,36,0.1417,Bachelor's,Full-time,Married,Yes,No,Education,No,1
LN000202,61,42307,68916,792,8,7,5.86,36,0.5456,High School,Self-employed,Single,Yes,Yes,Business,No,0
LN000203,35,45828,23679,635,78,15,14.18,180,0.0349,Bachelor's,Full-time,Divorced,No,Yes,Education,No,0
LN000204,41,45518,63268,618,76,1,15.58,240,0.0704,Bachelor's,Full-time,Divorced,No,No,Business,No,0
LN000205,33,24572,14111,698,66,13,10.16,60,0.1158,High School,Full-time,Married,No,No,Education,No,0
LN000206,48,7597,3648,662,2,8,10.47,120,0.0484,Bachelor's,Unemployed,Single,No,No,Personal,No,0
LN000207,49,61094,45048,404,86,1,24.8,24,0.3763,Master's,Full-time,Married,No,No,Auto,No,1
LN000208,18,11974,50006,614,1,18,14.42,12,0.99,Master's,Unemployed,Married,No,Yes,Home,Yes,0
LN000209,43,60720,275288,741,88,8,8.65,180,0.3044,Bachelor's,Full-time,Married,Yes,Yes,Home,Yes,0
LN000210,27,38443,67443,850,64,6,3.08,36,0.5863,PhD,Part-time,Married,Yes,No,Business,Yes,0
LN000211,50,34556,10485,625,39,12,13.54,48,0.0767,High School,Full-time,Married,Yes,Yes,Personal,No,0
LN000212,24,62639,228767,627,53,14,12.97,12,0.99,Bachelor's,Self-employed,Married,Yes,Yes,Home,Yes,0
LN000213,41,12861,7222,629,1,17,13.18,120,0.0568,PhD,Unemployed,Married,No,Yes,Education,No,0
LN000214,35,5172,27668,714,3,7,10.04,180,0.3596,High School,Unemployed,Single,No,Yes,Home,No,1
LN000215,30,130891,263273,765,55,14,10.22,36,0.6762,PhD,Full-time,Single,No,Yes,Business,No,0
LN000216,22,68134,235884,625,6,0,13.71,120,0.3502,Bachelor's,Full-time,Married,Yes,No,Home,Yes,0
LN000217,22,59109,239550,609,62,15,17.61,12,0.99,Master's,Full-time,Single,No,No,Home,No,0
LN000218,32,32981,46602,512,50,4,18.63,36,0.4783,High School,Full-time,Married,Yes,No,Business,Yes,1
LN000219,30,104398,88895,687,78,3,11.09,36,0.2865,PhD,Full-time,Married,No,No,Auto,Yes,0
LN000220,58,68198,26373,547,55,3,19.24,120,0.0393,Bachelor's,Full-time,Married,No,Yes,Personal,No,0
LN000221,36,111701,314240,680,39,5,9.89,24,0.99,PhD,Full-time,Single,No,No,Home,No,0
LN000222,45,35028,96210,355,3,11,25.6,36,0.9351,Bachelor's,Part-time,Single,Yes,No,Home,No,1
LN000223,26,46688,68786,727,86,15,9.21,24,0.7423,Bachelor's,Full-time,Single,Yes,No,Business,No,0
LN000224,27,53492,95547,600,58,18,16.07,36,0.6034,Bachelor's,Full-time,Married,No,Yes,Business,Yes,0
LN000225,29,73868,38784,698,67,17,8.98,36,0.1763,Bachelor's,Full-time,Single,No,No,Education,No,0
LN000226,41,65795,220637,365,56,9,25.2,360,0.1141,PhD,Part-time,Single,No,Yes,Home,No,1
LN000227,32,82112,349424,393,54,1,23.1,240,0.2169,Master's,Full-time,Divorced,Yes,No,Home,No,1
LN000228,28,65044,51676,602,58,8,15.15,60,0.1609,Bachelor's,Self-employed,Single,Yes,Yes,Auto,Yes,0
LN000229,41,96070,105585,752,62,19,6.19,48,0.2762,Master's,Full-time,Married,Yes,Yes,Business,Yes,0
LN000230,30,49345,29025,797,114,17,5.93,12,0.5911,Bachelor's,Full-time,Single,No,No,Education,Yes,0
LN000231,31,30975,13948,407,27,16,22.65,48,0.1147,High School,Full-time,Single,No,Yes,Personal,No,0
LN000232,23,17760,6276,548,112,6,19.13,24,0.1795,High School,Part-time,Married,No,Yes,Personal,No,1
LN000233,31,24063,5332,783,148,18,8.7,120,0.0223,High School,Full-time,Married,Yes,No,Personal,No,0
LN000234,29,70389,56510,799,103,5,8.05,36,0.2694,Bachelor's,Self-employed,Married,No,No,Education,No,0
LN000235,27,87390,332355,696,46,8,10.87,180,0.2558,PhD,Full-time,Divorced,No,No,Home,No,0
LN000236,41,54304,81787,736,28,8,6.91,48,0.3787,Bachelor's,Full-time,Married,Yes,Yes,Business,No,0
LN000237,33,57722,94581,536,98,2,19.67,12,0.99,Bachelor's,Full-time,Married,Yes,No,Business,No,0
LN000238,40,63163,17854,817,96,19,4.68,36,0.0946,Master's,Full-time,Married,No,No,Personal,Yes,0
LN000239,51,3123,2378,453,2,7,21.72,48,0.1938,High School,Unemployed,Married,No,Yes,Auto,No,1
LN000240,49,10955,27338,372,0,15,25.27,24,0.99,Master's,Unemployed,Married,Yes,No,Home,Yes,1
LN000241,18,99971,212674,556,23,5,16.54,36,0.7189,PhD,Full-time,Single,No,Yes,Business,Yes,0
LN000242,39,28658,77014,707,23,2,11.35,60,0.5426,High School,Self-employed,Married,Yes,No,Home,No,0
